Parâmetros;Média da validação;Média dos testes
50/2/random/random;0.3;0.294
50/2/random/crossOverWeights;0.196;0.178
50/2/random/crossOverNodes;0.216;0.184
50/2/random/crossOverFeatures;0.102;0.126
50/2/random/Line Recombination;0.228;0.282
50/2/BiasedMutateWeights/random;0.21;0.186
50/2/BiasedMutateWeights/crossOverWeights;0.182;0.196
50/2/BiasedMutateWeights/crossOverNodes;0.19;0.17
50/2/BiasedMutateWeights/crossOverFeatures;0.058;0.04
50/2/BiasedMutateWeights/Line Recombination;0.264;0.224
50/2/UnbiasedMutateWeights/random;0.278;0.28
50/2/UnbiasedMutateWeights/crossOverWeights;0.216;0.202
50/2/UnbiasedMutateWeights/crossOverNodes;0.232;0.208
50/2/UnbiasedMutateWeights/crossOverFeatures;0.116;0.112
50/2/UnbiasedMutateWeights/Line Recombination;0.342;0.31
50/2/MutateNodes/random;0.134;0.148
50/2/MutateNodes/crossOverWeights;0.062;0.068
50/2/MutateNodes/crossOverNodes;0.066;0.084
50/2/MutateNodes/crossOverFeatures;0.0;0.002
50/2/MutateNodes/Line Recombination;0.084;0.108
50/2/MutateWeakestNodes/random;0.166;0.216
50/2/MutateWeakestNodes/crossOverWeights;0.056;0.068
50/2/MutateWeakestNodes/crossOverNodes;0.03;0.038
50/2/MutateWeakestNodes/crossOverFeatures;0.002;0.006
50/2/MutateWeakestNodes/Line Recombination;0.146;0.11
50/2/SinglePointRandom/random;0.228;0.244
50/2/SinglePointRandom/crossOverWeights;0.344;0.368
50/2/SinglePointRandom/crossOverNodes;0.214;0.272
50/2/SinglePointRandom/crossOverFeatures;0.162;0.132
50/2/SinglePointRandom/Line Recombination;0.23;0.21
50/2/NonUniform/random;0.242;0.202
50/2/NonUniform/crossOverWeights;0.234;0.25
50/2/NonUniform/crossOverNodes;0.292;0.316
50/2/NonUniform/crossOverFeatures;0.044;0.044
50/2/NonUniform/Line Recombination;0.312;0.276
50/4/random/random;0.246;0.268
50/4/random/crossOverWeights;0.264;0.204
50/4/random/crossOverNodes;0.176;0.176
50/4/random/crossOverFeatures;0.078;0.088
50/4/random/Line Recombination;0.27;0.276
50/4/BiasedMutateWeights/random;0.24;0.242
50/4/BiasedMutateWeights/crossOverWeights;0.236;0.242
50/4/BiasedMutateWeights/crossOverNodes;0.102;0.086
50/4/BiasedMutateWeights/crossOverFeatures;0.044;0.05
50/4/BiasedMutateWeights/Line Recombination;0.226;0.232
50/4/UnbiasedMutateWeights/random;0.24;0.22
50/4/UnbiasedMutateWeights/crossOverWeights;0.206;0.168
50/4/UnbiasedMutateWeights/crossOverNodes;0.2;0.202
50/4/UnbiasedMutateWeights/crossOverFeatures;0.058;0.064
50/4/UnbiasedMutateWeights/Line Recombination;0.266;0.258
50/4/MutateNodes/random;0.132;0.144
50/4/MutateNodes/crossOverWeights;0.086;0.098
50/4/MutateNodes/crossOverNodes;0.05;0.04
50/4/MutateNodes/crossOverFeatures;0.0;0.0
50/4/MutateNodes/Line Recombination;0.06;0.064
50/4/MutateWeakestNodes/random;0.178;0.164
50/4/MutateWeakestNodes/crossOverWeights;0.046;0.048
50/4/MutateWeakestNodes/crossOverNodes;0.044;0.052
50/4/MutateWeakestNodes/crossOverFeatures;0.002;0.004
50/4/MutateWeakestNodes/Line Recombination;0.148;0.156
50/4/SinglePointRandom/random;0.244;0.236
50/4/SinglePointRandom/crossOverWeights;0.218;0.256
50/4/SinglePointRandom/crossOverNodes;0.202;0.212
